id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
3739,915,806,915,915,915,unk,unk,3,1,0
8292,915,unk,915,915,915,unk,unk,3,1,0
3308,806,706,806,915,915,unk,unk,2,1,0
4656,806,13,806,915,915,unk,unk,2,1,0
3644,915,806,915,915,915,unk,unk,3,1,1
3656,915,806,915,915,915,unk,unk,3,1,1
3481,806,706,806,915,915,unk,unk,2,4,0
3733,915,806,915,915,915,unk,unk,3,1,1
3490,806,706,806,915,915,unk,unk,2,4,0
3792,806,706,806,915,915,unk,unk,2,unk,1
9236,unk,unk,unk,915,unk,unk,unk,3,1,0
4501,915,804,915,915,915,unk,unk,3,1,1
3631,915,806,915,915,915,unk,unk,3,1,0
3446,806,706,806,915,915,unk,unk,2,2,1
3581,915,806,915,915,915,unk,unk,3,1,1
3667,915,806,915,915,915,unk,unk,3,1,0
3502,915,806,915,915,915,unk,unk,3,4,1
3384,806,706,806,915,915,unk,unk,2,1,1
3674,915,806,915,915,915,unk,unk,3,2,1
9245,unk,unk,unk,915,unk,unk,unk,3,unk,0
3356,806,706,806,915,915,unk,unk,2,4,0
3781,915,806,915,915,915,unk,unk,3,unk,1
3595,915,806,915,915,915,unk,unk,3,2,0
3539,915,806,915,915,915,unk,unk,3,1,1
3684,915,806,915,915,915,unk,unk,3,1,1
3291,806,706,806,915,915,unk,unk,2,1,1
3482,806,706,806,915,915,unk,unk,2,1,1
216,801,701,801,915,915,unk,unk,2,unk,1
3572,915,806,915,915,915,unk,unk,3,1,0
3330,806,706,806,915,915,unk,unk,2,4,1
9243,unk,unk,unk,915,915,unk,unk,3,4,1
9261,unk,unk,unk,915,915,unk,unk,3,unk,1
3548,915,806,915,915,915,unk,unk,3,2,0
3358,806,706,806,915,915,unk,unk,2,1,1
8280,915,unk,915,915,915,unk,unk,3,1,1
3478,806,706,806,915,915,unk,unk,2,1,0
578,915,801,915,915,915,unk,unk,3,1,1
3738,915,806,915,915,915,unk,unk,3,1,1
3486,806,706,806,915,915,unk,unk,2,1,0
3636,915,806,915,915,915,unk,unk,3,4,1
